
.\Data\s1\1.pgm;10318;9227;
.\Data\s1\2.pgm;10318;8804;
.\Data\s1\3.pgm;10318;9047;
.\Data\s1\4.pgm;10318;9535;
.\Data\s1\5.pgm;10318;9549;
.\Data\s1\6.pgm;10318;8873;
.\Data\s1\7.pgm;10318;9131;
.\Data\s1\8.pgm;10318;9770;
.\Data\s1\9.pgm;10318;9602;
.\Data\s1\s1.pgm;10318;9641;
.\Data\s1\s10.pgm;10318;10464;
.\Data\s1\s11.pgm;10318;10251;
.\Data\s1\s15.pgm;10318;10547;
.\Data\s1\s16.pgm;10318;9626;
.\Data\s1\s18.pgm;10318;10159;
.\Data\s1\s21.pgm;10318;10485;
.\Data\s1\s23.pgm;10318;10399;
.\Data\s1\s24.pgm;10318;9880;
.\Data\s1\s26.pgm;10318;10338;
.\Data\s1\s29.pgm;10318;10913;
.\Data\s1\s3.pgm;10318;10288;
.\Data\s1\s30.pgm;10318;10419;
.\Data\s1\s32.pgm;10318;10071;
.\Data\s1\s33.pgm;10318;10757;
.\Data\s1\s35.pgm;10318;10186;
.\Data\s1\s38.pgm;10318;10491;
.\Data\s1\s39.pgm;10318;10974;
.\Data\s1\s40.pgm;10318;10159;
.\Data\s1\s5.pgm;10318;9974;
.\Data\s1\s7.pgm;10318;10427;
.\Data\s1\s8.pgm;10318;10458;
.\Data\s1\s9.pgm;10318;10236;
.\Data\s10\1.pgm;10318;9682;
.\Data\s10\2.pgm;10318;9644;
.\Data\s10\3.pgm;10318;9728;
.\Data\s10\4.pgm;10318;9790;
.\Data\s10\5.pgm;10318;9827;
.\Data\s10\6.pgm;10318;9720;
.\Data\s10\7.pgm;10318;9703;
.\Data\s10\8.pgm;10318;9664;
.\Data\s10\9.pgm;10318;9708;
.\Data\s10\s1.pgm;10318;10006;
.\Data\s10\s10.pgm;10318;9706;
.\Data\s10\s11.pgm;10318;9670;
.\Data\s10\s15.pgm;10318;10327;
.\Data\s10\s16.pgm;10318;9861;
.\Data\s10\s18.pgm;10318;10153;
.\Data\s10\s21.pgm;10318;10172;
.\Data\s10\s23.pgm;10318;10097;
.\Data\s10\s24.pgm;10318;9924;
.\Data\s10\s26.pgm;10318;10097;
.\Data\s10\s29.pgm;10318;10169;
.\Data\s10\s3.pgm;10318;10011;
.\Data\s10\s30.pgm;10318;10058;
.\Data\s10\s32.pgm;10318;9961;
.\Data\s10\s33.pgm;10318;10071;
.\Data\s10\s35.pgm;10318;10113;
.\Data\s10\s38.pgm;10318;10048;
.\Data\s10\s39.pgm;10318;10231;
.\Data\s10\s40.pgm;10318;10079;
.\Data\s10\s5.pgm;10318;10064;
.\Data\s10\s7.pgm;10318;10044;
.\Data\s10\s8.pgm;10318;9868;
.\Data\s10\s9.pgm;10318;10020;
.\Data\s11\1.pgm;10318;9675;
.\Data\s11\2.pgm;10318;9696;
.\Data\s11\3.pgm;10318;9670;
.\Data\s11\4.pgm;10318;9732;
.\Data\s11\5.pgm;10318;9726;
.\Data\s11\6.pgm;10318;9571;
.\Data\s11\7.pgm;10318;9591;
.\Data\s11\8.pgm;10318;9655;
