
.\Data\s1\1.pgm;10318;8124;
.\Data\s1\2.pgm;10318;6995;
.\Data\s1\3.pgm;10318;7227;
.\Data\s1\4.pgm;10318;7079;
.\Data\s1\5.pgm;10318;6993;
.\Data\s1\6.pgm;10318;6698;
.\Data\s1\7.pgm;10318;6988;
.\Data\s1\8.pgm;10318;7071;
.\Data\s1\9.pgm;10318;7044;
.\Data\s1\s1.pgm;10318;12452;
.\Data\s1\s10.pgm;10318;12529;
.\Data\s1\s11.pgm;10318;11351;
.\Data\s1\s15.pgm;10318;13852;
.\Data\s1\s16.pgm;10318;11795;
.\Data\s1\s18.pgm;10318;13719;
.\Data\s1\s21.pgm;10318;13082;
.\Data\s1\s23.pgm;10318;12926;
.\Data\s1\s24.pgm;10318;11955;
.\Data\s1\s26.pgm;10318;13324;
.\Data\s1\s29.pgm;10318;12926;
.\Data\s1\s3.pgm;10318;13006;
.\Data\s1\s30.pgm;10318;12772;
.\Data\s1\s32.pgm;10318;12663;
.\Data\s1\s33.pgm;10318;12604;
.\Data\s1\s38.pgm;10318;12839;
.\Data\s1\s39.pgm;10318;12953;
.\Data\s1\s40.pgm;10318;13106;
.\Data\s1\s5.pgm;10318;13699;
.\Data\s1\s7.pgm;10318;12621;
.\Data\s1\s8.pgm;10318;12903;
.\Data\s1\s9.pgm;10318;12982;
.\Data\s10\1.pgm;10318;8814;
.\Data\s10\2.pgm;10318;7821;
.\Data\s10\3.pgm;10318;7670;
.\Data\s10\4.pgm;10318;7666;
.\Data\s10\5.pgm;10318;7333;
.\Data\s10\6.pgm;10318;7172;
.\Data\s10\7.pgm;10318;7343;
.\Data\s10\8.pgm;10318;7180;
.\Data\s10\9.pgm;10318;7141;
.\Data\s10\s1.pgm;10318;13438;
.\Data\s10\s10.pgm;10318;12246;
.\Data\s10\s11.pgm;10318;12208;
.\Data\s10\s15.pgm;10318;13889;
.\Data\s10\s16.pgm;10318;13244;
.\Data\s10\s18.pgm;10318;13842;
.\Data\s10\s21.pgm;10318;13521;
.\Data\s10\s23.pgm;10318;13479;
.\Data\s10\s24.pgm;10318;13377;
.\Data\s10\s26.pgm;10318;13611;
.\Data\s10\s29.pgm;10318;13327;
.\Data\s10\s3.pgm;10318;13399;
.\Data\s10\s30.pgm;10318;13153;
.\Data\s10\s32.pgm;10318;13165;
.\Data\s10\s33.pgm;10318;13167;
.\Data\s10\s38.pgm;10318;13095;
.\Data\s10\s39.pgm;10318;13121;
.\Data\s10\s40.pgm;10318;13601;
.\Data\s10\s5.pgm;10318;13853;
.\Data\s10\s7.pgm;10318;13463;
.\Data\s10\s8.pgm;10318;12898;
.\Data\s10\s9.pgm;10318;13290;
.\Data\s11\1.pgm;10318;9222;
.\Data\s11\2.pgm;10318;8392;
.\Data\s11\3.pgm;10318;8165;
.\Data\s11\4.pgm;10318;8070;
.\Data\s11\5.pgm;10318;8050;
.\Data\s11\6.pgm;10318;7747;
.\Data\s11\7.pgm;10318;7757;
.\Data\s11\8.pgm;10318;7849;
.\Data\s11\9.pgm;10318;7705;
.\Data\s11\s1.pgm;10318;12706;
.\Data\s11\s10.pgm;10318;12022;
.\Data\s11\s11.pgm;10318;10895;
.\Data\s11\s15.pgm;10318;13528;
.\Data\s11\s16.pgm;10318;11884;
.\Data\s11\s18.pgm;10318;13598;
.\Data\s11\s21.pgm;10318;12660;
.\Data\s11\s23.pgm;10318;12507;
.\Data\s11\s24.pgm;10318;11973;
.\Data\s11\s26.pgm;10318;13015;
.\Data\s11\s29.pgm;10318;12141;
.\Data\s11\s3.pgm;10318;12661;
.\Data\s11\s30.pgm;10318;12388;
.\Data\s11\s32.pgm;10318;12529;
.\Data\s11\s33.pgm;10318;11865;
.\Data\s11\s35.pgm;10318;13223;
.\Data\s11\s38.pgm;10318;12392;
.\Data\s11\s39.pgm;10318;12172;
.\Data\s11\s40.pgm;10318;12994;
.\Data\s11\s5.pgm;10318;13787;
.\Data\s11\s7.pgm;10318;12046;
.\Data\s11\s8.pgm;10318;12375;
.\Data\s11\s9.pgm;10318;12783;
.\Data\s15\1.pgm;10318;9043;
.\Data\s15\2.pgm;10318;7881;
.\Data\s15\3.pgm;10318;7947;
.\Data\s15\4.pgm;10318;7796;
.\Data\s15\5.pgm;10318;7433;
.\Data\s15\6.pgm;10318;7746;
.\Data\s15\7.pgm;10318;7333;
.\Data\s15\8.pgm;10318;7736;
.\Data\s15\9.pgm;10318;7316;
.\Data\s15\s1.pgm;10318;12167;
.\Data\s15\s10.pgm;10318;13166;
.\Data\s15\s11.pgm;10318;12579;
.\Data\s15\s15.pgm;10318;10476;
.\Data\s15\s16.pgm;10318;11811;
.\Data\s15\s18.pgm;10318;11826;
.\Data\s15\s21.pgm;10318;10668;
.\Data\s15\s23.pgm;10318;11386;
.\Data\s15\s24.pgm;10318;11404;
.\Data\s15\s26.pgm;10318;11398;
.\Data\s15\s29.pgm;10318;10386;
.\Data\s15\s3.pgm;10318;11705;
.\Data\s15\s30.pgm;10318;10981;
.\Data\s15\s32.pgm;10318;11831;
.\Data\s15\s33.pgm;10318;10727;
.\Data\s15\s35.pgm;10318;11370;
.\Data\s15\s38.pgm;10318;11372;
.\Data\s15\s39.pgm;10318;10229;
.\Data\s15\s40.pgm;10318;11347;
.\Data\s15\s5.pgm;10318;11604;
.\Data\s15\s7.pgm;10318;11481;
.\Data\s15\s8.pgm;10318;13136;
.\Data\s15\s9.pgm;10318;11562;
.\Data\s16\1.pgm;10318;9245;
.\Data\s16\2.pgm;10318;7843;
.\Data\s16\3.pgm;10318;7659;
.\Data\s16\4.pgm;10318;8280;
.\Data\s16\5.pgm;10318;7923;
.\Data\s16\6.pgm;10318;7584;
.\Data\s16\7.pgm;10318;7322;
.\Data\s16\8.pgm;10318;7421;
.\Data\s16\9.pgm;10318;7401;
.\Data\s16\s1.pgm;10318;12133;
.\Data\s16\s10.pgm;10318;12425;
.\Data\s16\s11.pgm;10318;11678;
.\Data\s16\s15.pgm;10318;12166;
.\Data\s16\s16.pgm;10318;10962;
.\Data\s16\s18.pgm;10318;12555;
.\Data\s16\s21.pgm;10318;11293;
.\Data\s16\s23.pgm;10318;11538;
.\Data\s16\s24.pgm;10318;11587;
.\Data\s16\s26.pgm;10318;12135;
.\Data\s16\s29.pgm;10318;11745;
.\Data\s16\s3.pgm;10318;11930;
.\Data\s16\s30.pgm;10318;11599;
.\Data\s16\s32.pgm;10318;12122;
.\Data\s16\s33.pgm;10318;11446;
.\Data\s16\s35.pgm;10318;12210;
.\Data\s16\s38.pgm;10318;12061;
.\Data\s16\s39.pgm;10318;11481;
.\Data\s16\s40.pgm;10318;12274;
.\Data\s16\s5.pgm;10318;12670;
.\Data\s16\s7.pgm;10318;10847;
.\Data\s16\s8.pgm;10318;12294;
.\Data\s16\s9.pgm;10318;12023;
.\Data\s18\1.pgm;10318;8586;
.\Data\s18\2.pgm;10318;7797;
.\Data\s18\3.pgm;10318;7504;
.\Data\s18\4.pgm;10318;7587;
.\Data\s18\5.pgm;10318;7328;
.\Data\s18\6.pgm;10318;7276;
.\Data\s18\7.pgm;10318;7231;
.\Data\s18\8.pgm;10318;7163;
.\Data\s18\9.pgm;10318;7122;
.\Data\s18\s1.pgm;10318;11725;
.\Data\s18\s10.pgm;10318;12592;
.\Data\s18\s11.pgm;10318;12793;
.\Data\s18\s15.pgm;10318;10245;
.\Data\s18\s16.pgm;10318;11902;
.\Data\s18\s18.pgm;10318;10719;
.\Data\s18\s21.pgm;10318;10791;
.\Data\s18\s23.pgm;10318;10933;
.\Data\s18\s24.pgm;10318;11849;
.\Data\s18\s26.pgm;10318;10782;
.\Data\s18\s29.pgm;10318;10827;
.\Data\s18\s3.pgm;10318;11217;
.\Data\s18\s30.pgm;10318;11225;
.\Data\s18\s32.pgm;10318;11662;
.\Data\s18\s33.pgm;10318;11167;
.\Data\s18\s35.pgm;10318;10722;
.\Data\s18\s38.pgm;10318;11301;
.\Data\s18\s39.pgm;10318;10578;
.\Data\s18\s40.pgm;10318;11011;
