.\Data\s18\9.pgm;sizeOrigin:;10318;sizeDestino:;7122;0,690250048
.\Data\s18\8.pgm;sizeOrigin:;10318;sizeDestino:;7163;0,694223687
.\Data\s18\7.pgm;sizeOrigin:;10318;sizeDestino:;7231;0,700814111
.\Data\s18\6.pgm;sizeOrigin:;10318;sizeDestino:;7276;0,705175422
.\Data\s18\5.pgm;sizeOrigin:;10318;sizeDestino:;7328;0,710215158
.\Data\s18\3.pgm;sizeOrigin:;10318;sizeDestino:;7504;0,727272727
.\Data\s18\4.pgm;sizeOrigin:;10318;sizeDestino:;7587;0,735316922
.\Data\s18\2.pgm;sizeOrigin:;10318;sizeDestino:;7797;0,755669703
.\Data\s18\1.pgm;sizeOrigin:;10318;sizeDestino:;8586;0,832138011
.\Data\s18\s15.pgm;sizeOrigin:;10318;sizeDestino:;10245;0,992924985
.\Data\s18\s39.pgm;sizeOrigin:;10318;sizeDestino:;10578;1,025198682
.\Data\s18\s18.pgm;sizeOrigin:;10318;sizeDestino:;10719;1,038864121
.\Data\s18\s35.pgm;sizeOrigin:;10318;sizeDestino:;10722;1,039154875
.\Data\s18\s26.pgm;sizeOrigin:;10318;sizeDestino:;10782;1,044969955
.\Data\s18\s21.pgm;sizeOrigin:;10318;sizeDestino:;10791;1,045842217
.\Data\s18\s29.pgm;sizeOrigin:;10318;sizeDestino:;10827;1,049331266
.\Data\s18\s23.pgm;sizeOrigin:;10318;sizeDestino:;10933;1,059604575
.\Data\s18\s40.pgm;sizeOrigin:;10318;sizeDestino:;11011;1,067164179
.\Data\s18\s5.pgm;sizeOrigin:;10318;sizeDestino:;11023;1,068327195
.\Data\s18\s7.pgm;sizeOrigin:;10318;sizeDestino:;11165;1,082089552
.\Data\s18\s33.pgm;sizeOrigin:;10318;sizeDestino:;11167;1,082283388
.\Data\s18\s3.pgm;sizeOrigin:;10318;sizeDestino:;11217;1,087129289
.\Data\s18\s30.pgm;sizeOrigin:;10318;sizeDestino:;11225;1,087904633
.\Data\s18\s9.pgm;sizeOrigin:;10318;sizeDestino:;11285;1,093719713
.\Data\s18\s38.pgm;sizeOrigin:;10318;sizeDestino:;11301;1,095270401
.\Data\s18\s32.pgm;sizeOrigin:;10318;sizeDestino:;11662;1,130257802
.\Data\s18\s1.pgm;sizeOrigin:;10318;sizeDestino:;11725;1,136363636
.\Data\s18\s24.pgm;sizeOrigin:;10318;sizeDestino:;11849;1,148381469
.\Data\s18\s16.pgm;sizeOrigin:;10318;sizeDestino:;11902;1,153518124
.\Data\s18\s8.pgm;sizeOrigin:;10318;sizeDestino:;12123;1,174937003
.\Data\s18\s10.pgm;sizeOrigin:;10318;sizeDestino:;12592;1,220391549
.\Data\s18\s11.pgm;sizeOrigin:;10318;sizeDestino:;12793;1,239872068
