.\Data\s18\9.pgm;sizeOrigin:;10318;sizeDestino:;7934
.\Data\s18\8.pgm;sizeOrigin:;10318;sizeDestino:;7990
.\Data\s18\7.pgm;sizeOrigin:;10318;sizeDestino:;8012
.\Data\s18\6.pgm;sizeOrigin:;10318;sizeDestino:;8040
.\Data\s18\5.pgm;sizeOrigin:;10318;sizeDestino:;8090
.\Data\s18\3.pgm;sizeOrigin:;10318;sizeDestino:;8233
.\Data\s18\4.pgm;sizeOrigin:;10318;sizeDestino:;8320
.\Data\s18\2.pgm;sizeOrigin:;10318;sizeDestino:;8463
.\Data\s18\1.pgm;sizeOrigin:;10318;sizeDestino:;9061
.\Data\s18\s15.pgm;sizeOrigin:;10318;sizeDestino:;12069
.\Data\s18\s39.pgm;sizeOrigin:;10318;sizeDestino:;12275
.\Data\s18\s18.pgm;sizeOrigin:;10318;sizeDestino:;12638
.\Data\s18\s35.pgm;sizeOrigin:;10318;sizeDestino:;12644
.\Data\s18\s21.pgm;sizeOrigin:;10318;sizeDestino:;12679
.\Data\s18\s26.pgm;sizeOrigin:;10318;sizeDestino:;12727
.\Data\s18\s29.pgm;sizeOrigin:;10318;sizeDestino:;12748
.\Data\s18\s23.pgm;sizeOrigin:;10318;sizeDestino:;12904
.\Data\s18\s40.pgm;sizeOrigin:;10318;sizeDestino:;12992
.\Data\s18\s5.pgm;sizeOrigin:;10318;sizeDestino:;12994
.\Data\s18\s33.pgm;sizeOrigin:;10318;sizeDestino:;13116
.\Data\s18\s7.pgm;sizeOrigin:;10318;sizeDestino:;13151
.\Data\s18\s30.pgm;sizeOrigin:;10318;sizeDestino:;13222
.\Data\s18\s3.pgm;sizeOrigin:;10318;sizeDestino:;13242
.\Data\s18\s38.pgm;sizeOrigin:;10318;sizeDestino:;13264
.\Data\s18\s9.pgm;sizeOrigin:;10318;sizeDestino:;13291
.\Data\s18\s32.pgm;sizeOrigin:;10318;sizeDestino:;13701
.\Data\s18\s1.pgm;sizeOrigin:;10318;sizeDestino:;13764
.\Data\s18\s24.pgm;sizeOrigin:;10318;sizeDestino:;13950
.\Data\s18\s16.pgm;sizeOrigin:;10318;sizeDestino:;14026
.\Data\s18\s8.pgm;sizeOrigin:;10318;sizeDestino:;14224
.\Data\s18\s10.pgm;sizeOrigin:;10318;sizeDestino:;14691
.\Data\s18\s11.pgm;sizeOrigin:;10318;sizeDestino:;14951
